2017-12-18 11:54:24  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (21 < min 30)
2017-12-18 11:54:24  /entrypoint.sh: static: does not generate the admin key, so we can not get it.
2017-12-18 11:54:24  /entrypoint.sh: static: make it available with the help of your configuration management system.
2017-12-18 11:54:24  /entrypoint.sh: static: ceph-ansible is a good candidate to deploy a containerized version of Ceph.
2017-12-18 11:54:24  /entrypoint.sh: static: ceph-ansible will help you fetching the keys and push them on the right nodes.
2017-12-18 11:54:24  /entrypoint.sh: static: if you're interested, please visit: https://github.com/ceph/ceph-ansible
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-12-18 11:54:27  /entrypoint.sh: SUCCESS
2017-12-18 11:54:27.280598 7f40b0b36300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-12-18 11:54:27.280619 7f40b0b36300  0 ceph version 9.0.0-18997-g8adf01b (8adf01b98af39502aa7fe3d10c4b19935508eaa7), process ceph-mds, pid 236
starting mds.node-4 at -
2017-12-18 11:54:27.281738 7f40b0b36300  0 pidfile_write: ignore empty --pid-file
2017-12-18 11:54:31.177923 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c12000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:54:31.266484 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c15000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:54:31.365494 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c13800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:54:31.418702 7f40a9532700  0 mds.0.cache creating system inode with ino:1
2017-12-18 11:54:31.419010 7f40a9532700  0 mds.0.cache creating system inode with ino:100
2017-12-18 11:54:31.419026 7f40a9532700  0 mds.0.cache creating system inode with ino:600
2017-12-18 11:54:31.419348 7f40a9532700  0 mds.0.cache creating system inode with ino:601
2017-12-18 11:54:31.419463 7f40a9532700  0 mds.0.cache creating system inode with ino:602
2017-12-18 11:54:31.419585 7f40a9532700  0 mds.0.cache creating system inode with ino:603
2017-12-18 11:54:31.419726 7f40a9532700  0 mds.0.cache creating system inode with ino:604
2017-12-18 11:54:31.419845 7f40a9532700  0 mds.0.cache creating system inode with ino:605
2017-12-18 11:54:31.419932 7f40a9532700  0 mds.0.cache creating system inode with ino:606
2017-12-18 11:54:31.420015 7f40a9532700  0 mds.0.cache creating system inode with ino:607
2017-12-18 11:54:31.420135 7f40a9532700  0 mds.0.cache creating system inode with ino:608
