Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
0, 1513593650,          2
1, 1513593651,          6
2, 1513593652,          6
3, 1513593653,          4
4, 1513593654,          5
5, 1513593655,          5
6, 1513593656,          5
7, 1513593657,          7
8, 1513593658,          7
9, 1513593659,          5
10, 1513593660,          5
11, 1513593661,          7
12, 1513593662,         11
13, 1513593663,          9
14, 1513593664,        453
15, 1513593665,       1177
16, 1513593666,       1616
17, 1513593667,       1956
18, 1513593668,       2154
19, 1513593669,       2245
20, 1513593670,       3224
21, 1513593671,       2706
22, 1513593672,       3412
23, 1513593673,       3045
24, 1513593674,       3093
25, 1513593675,       2780
26, 1513593676,       3655
27, 1513593677,       2632
28, 1513593678,       3600
29, 1513593679,       3026
30, 1513593680,       2655
31, 1513593681,       3010
32, 1513593682,       3168
33, 1513593683,       3262
34, 1513593684,       2924
35, 1513593685,       2849
36, 1513593686,       2034
37, 1513593687,       1068
38, 1513593688,       2944
39, 1513593689,       2299
40, 1513593690,       2919
41, 1513593691,       1998
42, 1513593692,       1761
43, 1513593693,       2828
44, 1513593694,       2635
45, 1513593695,       3097
46, 1513593696,       1862
47, 1513593697,       2788
48, 1513593698,       5982
49, 1513593699,       3708
50, 1513593700,       2617
51, 1513593701,       2084
52, 1513593702,       1598
53, 1513593703,       4356
54, 1513593704,       4049
55, 1513593705,       3691
56, 1513593706,       2512
57, 1513593707,       1798
58, 1513593708,       4366
59, 1513593709,       3143
60, 1513593710,       4335
61, 1513593711,       1933
62, 1513593712,       4685
63, 1513593713,       6510
64, 1513593714,       3745
65, 1513593715,       2776
66, 1513593716,       1570
67, 1513593717,       2596
68, 1513593718,       3676
69, 1513593719,       4151
70, 1513593720,       4780
71, 1513593721,       1844
72, 1513593722,       3407
73, 1513593723,       3307
74, 1513593724,       4379
75, 1513593725,       4544
76, 1513593726,       2627
77, 1513593727,       4025
78, 1513593728,       4782
79, 1513593729,       4296
80, 1513593730,       4690
81, 1513593731,       2769
82, 1513593732,       1345
83, 1513593733,       5244
84, 1513593734,       3946
85, 1513593735,       4600
86, 1513593736,       2815
87, 1513593737,        932
88, 1513593738,       3806
89, 1513593739,       4253
90, 1513593740,       4630
91, 1513593741,       2979
92, 1513593742,       2928
93, 1513593743,       5005
94, 1513593744,       3429
95, 1513593745,       3988
96, 1513593746,       2492
97, 1513593747,       1052
98, 1513593748,       3889
99, 1513593749,       4559
100, 1513593750,       3740
101, 1513593751,       2200
102, 1513593752,       2815
103, 1513593753,       3906
104, 1513593754,       4181
105, 1513593755,       4536
106, 1513593756,       2610
107, 1513593757,       1772
108, 1513593758,       4351
109, 1513593759,       4211
110, 1513593760,       4177
111, 1513593761,       2533
112, 1513593762,       2762
113, 1513593763,       4176
114, 1513593764,       4702
115, 1513593765,       4263
116, 1513593766,       2742
117, 1513593767,       1252
118, 1513593768,       3401
119, 1513593769,       6025
120, 1513593770,       4292
121, 1513593771,       2566
122, 1513593772,       2575
123, 1513593773,       4409
124, 1513593774,       3937
125, 1513593775,       4717
126, 1513593776,       2598
127, 1513593777,       1106
128, 1513593778,       4810
129, 1513593779,       4249
130, 1513593780,       4278
131, 1513593781,       2536
132, 1513593782,       2970
133, 1513593783,       3629
134, 1513593784,       4314
135, 1513593785,       4545
136, 1513593786,       2501
137, 1513593787,       1699
138, 1513593788,       3374
139, 0,          0
140, 1513593790,       4767
141, 1513593791,       2287
142, 1513593792,       2240
143, 1513593793,       4869
144, 1513593794,       4319
145, 1513593795,       3976
146, 1513593796,       2909
147, 1513593797,       1097
148, 1513593798,       3027
149, 1513593799,       5040
150, 1513593800,       4315
151, 1513593801,       2595
152, 1513593802,       3166
153, 1513593803,       3923
154, 1513593804,       3716
155, 1513593805,       3940
156, 1513593806,       2346
157, 1513593807,       1012
158, 1513593808,       3164
159, 1513593809,       4442
160, 1513593810,       4702
161, 1513593811,       2094
162, 1513593812,       2113
163, 1513593813,       5600
164, 1513593814,       2749
165, 1513593815,       4440
166, 1513593816,       2904
167, 1513593817,        856
168, 1513593818,       3316
169, 1513593819,       4117
170, 1513593820,       4887
171, 1513593821,       2110
172, 1513593822,       1870
173, 1513593823,       3583
174, 1513593824,       4918
175, 1513593825,       4778
176, 1513593826,       2700
177, 1513593827,       1228
178, 1513593828,        991
179, 1513593829,       5331
180, 1513593830,       4325
181, 1513593831,       2816
182, 1513593832,       2221
183, 0,          0
184, 1513593834,       4739
185, 1513593835,       4206
186, 1513593836,       3384
187, 1513593837,        981
188, 1513593838,       2687
189, 1513593839,       4975
190, 1513593840,       4663
191, 0,          0
192, 1513593842,       3104
193, 1513593843,       1159
194, 1513593844,       5002
195, 1513593845,       3646
196, 1513593846,       4239
197, 1513593847,       3059
198, 1513593848,       1005
199, 1513593849,       2671
200, 1513593850,       4900
201, 1513593851,       3939
