Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
0, 1513593651,          5
1, 1513593652,          6
2, 1513593653,          4
3, 1513593654,          4
4, 1513593655,          4
5, 1513593656,          4
6, 1513593657,          6
7, 1513593658,          5
8, 1513593659,          4
9, 1513593660,          4
10, 1513593661,          6
11, 1513593662,         42
12, 1513593663,         39
13, 1513593664,         40
14, 1513593665,         52
15, 1513593666,         50
16, 1513593667,         53
17, 1513593668,         57
18, 1513593669,         51
19, 1513593670,         60
20, 1513593671,         59
21, 1513593672,         60
22, 1513593673,         55
23, 1513593674,         51
24, 1513593675,         59
25, 1513593676,         69
26, 1513593677,         61
27, 1513593678,         58
28, 1513593679,         49
29, 1513593680,         46
30, 1513593681,         71
31, 1513593682,         88
32, 1513593683,         50
33, 1513593684,         51
34, 1513593685,         51
35, 1513593686,       1453
36, 1513593687,       5721
37, 1513593688,       2835
38, 1513593689,         62
39, 1513593690,         58
40, 1513593691,       2006
41, 1513593692,       2174
42, 1513593693,         57
43, 1513593694,         52
44, 1513593695,         21
45, 1513593696,       1394
46, 1513593697,       1293
47, 1513593698,       2538
48, 1513593699,        277
49, 1513593700,         16
50, 1513593701,       2449
51, 1513593702,       3681
52, 1513593703,         11
53, 1513593704,         41
54, 1513593705,         64
55, 1513593706,       1914
56, 1513593707,       2820
57, 1513593708,        853
58, 1513593709,         19
59, 1513593710,         46
60, 1513593711,        840
61, 1513593712,       1271
62, 1513593713,      11287
63, 1513593714,      24362
64, 1513593715,         51
65, 1513593716,       1292
66, 1513593717,      42204
67, 1513593718,         44
68, 1513593719,         32
69, 1513593720,         50
70, 1513593721,       1589
71, 1513593722,       3502
72, 1513593723,         24
73, 1513593724,         19
74, 1513593725,         58
75, 1513593726,      43576
76, 1513593727,         33
77, 1513593728,         23
78, 1513593729,         16
79, 1513593730,         18
80, 1513593731,       9544
81, 1513593732,      45660
82, 1513593733,         18
83, 1513593734,         13
84, 1513593735,         13
85, 1513593736,        931
86, 1513593737,       4291
87, 1513593738,        610
88, 1513593739,         15
89, 1513593740,         18
90, 1513593741,       9743
91, 1513593742,      44610
92, 1513593743,         16
93, 1513593744,         14
94, 1513593745,         14
95, 1513593746,       1104
96, 1513593747,      82172
97, 1513593748,         41
98, 1513593749,         19
99, 1513593750,         17
100, 1513593751,        765
101, 1513593752,       3242
102, 1513593753,          8
103, 1513593754,         15
104, 1513593755,         18
105, 1513593756,       2188
106, 1513593757,      63316
107, 1513593758,         19
108, 1513593759,         24
109, 1513593760,         18
110, 1513593761,        682
111, 1513593762,       2618
112, 1513593763,         15
113, 1513593764,         21
114, 1513593765,         15
115, 1513593766,       1452
116, 1513593767,      84701
117, 1513593768,         18
118, 1513593769,         22
119, 1513593770,         13
120, 1513593771,        592
121, 1513593772,       3647
122, 1513593773,         47
123, 1513593774,         14
124, 1513593775,         20
125, 1513593776,       2237
126, 1513593777,      76204
127, 1513593778,         50
128, 1513593779,         20
129, 1513593780,         14
130, 1513593781,        360
131, 1513593782,       3416
132, 1513593783,         47
133, 1513593784,         13
134, 1513593785,         18
135, 1513593786,       2295
136, 1513593787,      86276
137, 1513593788,         47
138, 0,          0
139, 1513593790,         15
140, 1513593791,        144
141, 1513593792,       3485
142, 1513593793,          7
